code,coding_system,description,entity,list_name
8G52.00,Read,Antiphobic therapy,diagnostic,mental_illness_non_smi
8G94.00,Read,Anxiety management training,diagnostic,mental_illness_non_smi
8HHp.00,Read,Referral for guided self-help for anxiety,diagnostic,mental_illness_non_smi
E2...00,Read,Neurotic; personality and other nonpsychotic disorders,diagnostic,mental_illness_non_smi
E20..00,Read,Neurotic disorders,diagnostic,mental_illness_non_smi
E200.00,Read,Anxiety states,diagnostic,mental_illness_non_smi
E200000,Read,Anxiety state unspecified,diagnostic,mental_illness_non_smi
E200100,Read,Panic disorder,diagnostic,mental_illness_non_smi
E200111,Read,Panic attack,diagnostic,mental_illness_non_smi
E200200,Read,Generalised anxiety disorder,diagnostic,mental_illness_non_smi
E200300,Read,Anxiety with depression,diagnostic,mental_illness_non_smi
E200400,Read,Chronic anxiety,diagnostic,mental_illness_non_smi
E200500,Read,Recurrent anxiety,diagnostic,mental_illness_non_smi
E200z00,Read,Anxiety state NOS,diagnostic,mental_illness_non_smi
E201.00,Read,Hysteria,diagnostic,mental_illness_non_smi
E201000,Read,Hysteria unspecified,diagnostic,mental_illness_non_smi
E201100,Read,Hysterical blindness,diagnostic,mental_illness_non_smi
E201200,Read,Hysterical deafness,diagnostic,mental_illness_non_smi
E201300,Read,Hysterical tremor,diagnostic,mental_illness_non_smi
E201400,Read,Hysterical paralysis,diagnostic,mental_illness_non_smi
E201500,Read,Hysterical seizures,diagnostic,mental_illness_non_smi
E201511,Read,Fit - hysterical,diagnostic,mental_illness_non_smi
E201600,Read,Other conversion disorder,diagnostic,mental_illness_non_smi
E201611,Read,Astasia - abasia; hysterical,diagnostic,mental_illness_non_smi
E201612,Read,Globus hystericus,diagnostic,mental_illness_non_smi
E201700,Read,Hysterical amnesia,diagnostic,mental_illness_non_smi
E201800,Read,Hysterical fugue,diagnostic,mental_illness_non_smi
E201900,Read,Multiple personality,diagnostic,mental_illness_non_smi
E201A00,Read,Dissociative reaction unspecified,diagnostic,mental_illness_non_smi
E201B00,Read,Compensation neurosis,diagnostic,mental_illness_non_smi
E201C00,Read,Phantom pregnancy,diagnostic,mental_illness_non_smi
E201z00,Read,Hysteria NOS,diagnostic,mental_illness_non_smi
E201z11,Read,Aphonia - hysterical,diagnostic,mental_illness_non_smi
E201z12,Read,Ataxia - hysterical,diagnostic,mental_illness_non_smi
E201z13,Read,Ganser's syndrome - hysterical,diagnostic,mental_illness_non_smi
E202.00,Read,Phobic disorders,diagnostic,mental_illness_non_smi
