code,coding_system,description,entity,list_name
Eu33300,Read,[X]Recurrent depress disorder cur epi severe with psyc symp,diagnostic,severe_mental_illness
Eu33311,Read,[X]Endogenous depression with psychotic symptoms,diagnostic,severe_mental_illness
Eu33312,Read,[X]Manic-depress psychosis;depressed type+psychotic symptoms,diagnostic,severe_mental_illness
Eu33313,Read,[X]Recurr severe episodes/major depression+psychotic symptom,diagnostic,severe_mental_illness
Eu33314,Read,[X]Recurr severe episodes/psychogenic depressive psychosis,diagnostic,severe_mental_illness
Eu33315,Read,[X]Recurrent severe episodes of psychotic depression,diagnostic,severe_mental_illness
Eu33316,Read,[X]Recurrent severe episodes/reactive depressive psychosis,diagnostic,severe_mental_illness
Eu33200,Read,[X]Recurr depress disorder cur epi severe without psyc sympt,diagnostic,severe_mental_illness
Eu32700,Read,[X]Major depression; severe without psychotic symptoms,diagnostic,severe_mental_illness
E112300,Read,Single major depressive episode; severe; without psychosis,diagnostic,severe_mental_illness
E112400,Read,Single major depressive episode; severe; with psychosis,diagnostic,severe_mental_illness
Eu32300,Read,[X]Severe depressive episode with psychotic symptoms,diagnostic,severe_mental_illness
Eu32311,Read,[X]Single episode of major depression and psychotic symptoms,diagnostic,severe_mental_illness
Eu32312,Read,[X]Single episode of psychogenic depressive psychosis,diagnostic,severe_mental_illness
Eu32313,Read,[X]Single episode of psychotic depression,diagnostic,severe_mental_illness
Eu32314,Read,[X]Single episode of reactive depressive psychosis,diagnostic,severe_mental_illness
Eu32800,Read,[X]Major depression; severe with psychotic symptoms,diagnostic,severe_mental_illness
Eu32900,Read,[X]Single major depr ep; severe with psych; psych in remiss,diagnostic,severe_mental_illness
Eu32A00,Read,[X]Recurr major depr ep; severe with psych; psych in remiss,diagnostic,severe_mental_illness
E113300,Read,Recurrent major depressive episodes; severe; no psychosis,diagnostic,severe_mental_illness
E113400,Read,Recurrent major depressive episodes; severe; with psychosis,diagnostic,severe_mental_illness
146D.00,Read,H/O: manic depressive disorder,diagnostic,severe_mental_illness
1S42.00,Read,Manic mood,diagnostic,severe_mental_illness
6657,Read,On lithium,diagnostic,severe_mental_illness
6657.11,Read,Lithium monitoring,diagnostic,severe_mental_illness
6657.12,Read,Started lithium,diagnostic,severe_mental_illness
E11..00,Read,Affective psychoses,diagnostic,severe_mental_illness
E110.00,Read,Manic disorder; single episode,diagnostic,severe_mental_illness
E110000,Read,Single manic episode; unspecified,diagnostic,severe_mental_illness
E110100,Read,Single manic episode; mild,diagnostic,severe_mental_illness
E110.11,Read,Hypomanic psychoses,diagnostic,severe_mental_illness
E110200,Read,Single manic episode; moderate,diagnostic,severe_mental_illness
E110300,Read,Single manic episode; severe without mention of psychosis,diagnostic,severe_mental_illness
E110400,Read,Single manic episode; severe; with psychosis,diagnostic,severe_mental_illness
E110600,Read,Single manic episode in full remission,diagnostic,severe_mental_illness
E110z00,Read,Manic disorder; single episode NOS,diagnostic,severe_mental_illness
E111.00,Read,Recurrent manic episodes,diagnostic,severe_mental_illness
E111000,Read,Recurrent manic episodes; unspecified,diagnostic,severe_mental_illness
E11..11,Read,Bipolar psychoses,diagnostic,severe_mental_illness
E111100,Read,Recurrent manic episodes; mild,diagnostic,severe_mental_illness
E111200,Read,Recurrent manic episodes; moderate,diagnostic,severe_mental_illness
E11..13,Read,Manic psychoses,diagnostic,severe_mental_illness
E111300,Read,Recurrent manic episodes; severe without mention psychosis,diagnostic,severe_mental_illness
E111400,Read,Recurrent manic episodes; severe; with psychosis,diagnostic,severe_mental_illness
E111500,Read,Recurrent manic episodes; partial or unspecified remission,diagnostic,severe_mental_illness
E111600,Read,Recurrent manic episodes; in full remission,diagnostic,severe_mental_illness
E111z00,Read,Recurrent manic episode NOS,diagnostic,severe_mental_illness
E114.00,Read,Bipolar affective disorder; currently manic,diagnostic,severe_mental_illness
E114000,Read,Bipolar affective disorder; currently manic; unspecified,diagnostic,severe_mental_illness
E114100,Read,Bipolar affective disorder; currently manic; mild,diagnostic,severe_mental_illness
E114.11,Read,Manic-depressive - now manic,diagnostic,severe_mental_illness
E114200,Read,Bipolar affective disorder; currently manic; moderate,diagnostic,severe_mental_illness
E114300,Read,Bipolar affect disord; currently manic; severe; no psychosis,diagnostic,severe_mental_illness
E114400,Read,Bipolar affect disord; currently manic;severe with psychosis,diagnostic,severe_mental_illness
E114500,Read,Bipolar affect disord;currently manic; part/unspec remission,diagnostic,severe_mental_illness
E114600,Read,Bipolar affective disorder; currently manic; full remission,diagnostic,severe_mental_illness
E114z00,Read,Bipolar affective disorder; currently manic; NOS,diagnostic,severe_mental_illness
E115.00,Read,Bipolar affective disorder; currently depressed,diagnostic,severe_mental_illness
E115000,Read,Bipolar affective disorder; currently depressed; unspecified,diagnostic,severe_mental_illness
E115100,Read,Bipolar affective disorder; currently depressed; mild,diagnostic,severe_mental_illness
E115.11,Read,Manic-depressive - now depressed,diagnostic,severe_mental_illness
E115200,Read,Bipolar affective disorder; currently depressed; moderate,diagnostic,severe_mental_illness
E115300,Read,Bipolar affect disord; now depressed; severe; no psychosis,diagnostic,severe_mental_illness
E115400,Read,Bipolar affect disord; now depressed; severe with psychosis,diagnostic,severe_mental_illness
E115500,Read,Bipolar affect disord; now depressed; part/unspec remission,diagnostic,severe_mental_illness
E115600,Read,Bipolar affective disorder; now depressed; in full remission,diagnostic,severe_mental_illness
E115z00,Read,Bipolar affective disorder; currently depressed; NOS,diagnostic,severe_mental_illness
E116.00,Read,Mixed bipolar affective disorder,diagnostic,severe_mental_illness
E116000,Read,Mixed bipolar affective disorder; unspecified,diagnostic,severe_mental_illness
E116100,Read,Mixed bipolar affective disorder; mild,diagnostic,severe_mental_illness
E116200,Read,Mixed bipolar affective disorder; moderate,diagnostic,severe_mental_illness
E116300,Read,Mixed bipolar affective disorder; severe; without psychosis,diagnostic,severe_mental_illness
E116400,Read,Mixed bipolar affective disorder; severe; with psychosis,diagnostic,severe_mental_illness
E116500,Read,Mixed bipolar affective disorder; partial/unspec remission,diagnostic,severe_mental_illness
E116600,Read,Mixed bipolar affective disorder; in full remission,diagnostic,severe_mental_illness
E116z00,Read,Mixed bipolar affective disorder; NOS,diagnostic,severe_mental_illness
E117.00,Read,Unspecified bipolar affective disorder,diagnostic,severe_mental_illness
E117000,Read,Unspecified bipolar affective disorder; unspecified,diagnostic,severe_mental_illness
E117100,Read,Unspecified bipolar affective disorder; mild,diagnostic,severe_mental_illness
E117200,Read,Unspecified bipolar affective disorder; moderate,diagnostic,severe_mental_illness
E117300,Read,Unspecified bipolar affective disorder; severe; no psychosis,diagnostic,severe_mental_illness
E117400,Read,Unspecified bipolar affective disorder;severe with psychosis,diagnostic,severe_mental_illness
E117500,Read,Unspecified bipolar affect disord; partial/unspec remission,diagnostic,severe_mental_illness
E117600,Read,Unspecified bipolar affective disorder; in full remission,diagnostic,severe_mental_illness
E117z00,Read,Unspecified bipolar affective disorder; NOS,diagnostic,severe_mental_illness
E11y.00,Read,Other and unspecified manic-depressive psychoses,diagnostic,severe_mental_illness
E11y000,Read,Unspecified manic-depressive psychoses,diagnostic,severe_mental_illness
E11y100,Read,Atypical manic disorder,diagnostic,severe_mental_illness
E11y300,Read,Other mixed manic-depressive psychoses,diagnostic,severe_mental_illness
E11yz00,Read,Other and unspecified manic-depressive psychoses NOS,diagnostic,severe_mental_illness
Eu3..00,Read,[X]Mood - affective disorders,diagnostic,severe_mental_illness
Eu30.00,Read,[X]Manic episode,diagnostic,severe_mental_illness
Eu30000,Read,[X]Hypomania,diagnostic,severe_mental_illness
Eu30100,Read,[X]Mania without psychotic symptoms,diagnostic,severe_mental_illness
Eu30.11,Read,[X]Bipolar disorder; single manic episode,diagnostic,severe_mental_illness
Eu30200,Read,[X]Mania with psychotic symptoms,diagnostic,severe_mental_illness
Eu30211,Read,[X]Mania with mood-congruent psychotic symptoms,diagnostic,severe_mental_illness
Eu30212,Read,[X]Mania with mood-incongruent psychotic symptoms,diagnostic,severe_mental_illness
Eu30y00,Read,[X]Other manic episodes,diagnostic,severe_mental_illness
Eu30z00,Read,[X]Manic episode; unspecified,diagnostic,severe_mental_illness
Eu30z11,Read,[X]Mania NOS,diagnostic,severe_mental_illness
Eu31.00,Read,[X]Bipolar affective disorder,diagnostic,severe_mental_illness
Eu31000,Read,[X]Bipolar affective disorder; current episode hypomanic,diagnostic,severe_mental_illness
Eu31100,Read,[X]Bipolar affect disorder cur epi manic wout psychotic symp,diagnostic,severe_mental_illness
Eu31.11,Read,[X]Manic-depressive illness,diagnostic,severe_mental_illness
Eu31.12,Read,[X]Manic-depressive psychosis,diagnostic,severe_mental_illness
Eu31.13,Read,[X]Manic-depressive reaction,diagnostic,severe_mental_illness
Eu31200,Read,[X]Bipolar affect disorder cur epi manic with psychotic symp,diagnostic,severe_mental_illness
Eu31300,Read,[X]Bipolar affect disorder cur epi mild or moderate depressn,diagnostic,severe_mental_illness
Eu31400,Read,[X]Bipol aff disord; curr epis sev depress; no psychot symp,diagnostic,severe_mental_illness
Eu31500,Read,[X]Bipolar affect dis cur epi severe depres with psyc symp,diagnostic,severe_mental_illness
Eu31600,Read,[X]Bipolar affective disorder; current episode mixed,diagnostic,severe_mental_illness
Eu31700,Read,[X]Bipolar affective disorder; currently in remission,diagnostic,severe_mental_illness
Eu31y00,Read,[X]Other bipolar affective disorders,diagnostic,severe_mental_illness
Eu31y11,Read,[X]Bipolar II disorder,diagnostic,severe_mental_illness
Eu31y12,Read,[X]Recurrent manic episodes,diagnostic,severe_mental_illness
Eu31z00,Read,[X]Bipolar affective disorder; unspecified,diagnostic,severe_mental_illness
Eu33213,Read,[X]Manic-depress psychosis;depressd;no psychotic symptoms,diagnostic,severe_mental_illness
Eu33312,Read,[X]Manic-depress psychosis;depressed type+psychotic symptoms,diagnostic,severe_mental_illness
Eu34.00,Read,[X]Persistent mood affective disorders,diagnostic,severe_mental_illness
Eu34000,Read,[X]Cyclothymia,diagnostic,severe_mental_illness
Eu34y00,Read,[X]Other persistent mood affective disorders,diagnostic,severe_mental_illness
Eu34z00,Read,[X]Persistent mood affective disorder; unspecified,diagnostic,severe_mental_illness
Eu3y.00,Read,[X]Other mood affective disorders,diagnostic,severe_mental_illness
Eu3y000,Read,[X]Other single mood affective disorders,diagnostic,severe_mental_illness
Eu3y011,Read,[X]Mixed affective episode,diagnostic,severe_mental_illness
Eu3y100,Read,[X]Other recurrent mood affective disorders,diagnostic,severe_mental_illness
Eu3yy00,Read,[X]Other specified mood affective disorders,diagnostic,severe_mental_illness
Eu3z.00,Read,[X]Unspecified mood affective disorder,diagnostic,severe_mental_illness
Eu3z.11,Read,[X]Affective psychosis NOS,diagnostic,severe_mental_illness
ZV11111,Read,[V]Personal history of manic-depressive psychosis,diagnostic,severe_mental_illness
ZV11112,Read,[V]Personal history of manic-depressive psychosis,diagnostic,severe_mental_illness
1464,Read,H/O: schizophrenia,diagnostic,severe_mental_illness
146H.00,Read,H/O: psychosis,diagnostic,severe_mental_illness
1BH..00,Read,Delusions,diagnostic,severe_mental_illness
1BH0.00,Read,Delusion of persecution,diagnostic,severe_mental_illness
1BH1.00,Read,Grandiose delusions,diagnostic,severe_mental_illness
1BH..11,Read,Delusion,diagnostic,severe_mental_illness
1BH2.00,Read,Ideas of reference,diagnostic,severe_mental_illness
1BH3.00,Read,Paranoid ideation,diagnostic,severe_mental_illness
225E.00,Read,O/E - paranoid delusions,diagnostic,severe_mental_illness
225F.00,Read,O/E - delusion of persecution,diagnostic,severe_mental_illness
285..11,Read,Psychotic condition; insight present,diagnostic,severe_mental_illness
286..11,Read,Poor insight into psychotic condition,diagnostic,severe_mental_illness
665E.00,Read,Injectable neuroleptic given,diagnostic,severe_mental_illness
665F.00,Read,On injectable neuroleptic,diagnostic,severe_mental_illness
E1...00,Read,Non-organic psychoses,diagnostic,severe_mental_illness
E10..00,Read,Schizophrenic disorders,diagnostic,severe_mental_illness
E100.00,Read,Simple schizophrenia,diagnostic,severe_mental_illness
E100000,Read,Unspecified schizophrenia,diagnostic,severe_mental_illness
E100100,Read,Subchronic schizophrenia,diagnostic,severe_mental_illness
E100.11,Read,Schizophrenia simplex,diagnostic,severe_mental_illness
E100200,Read,Chronic schizophrenic,diagnostic,severe_mental_illness
E100300,Read,Acute exacerbation of subchronic schizophrenia,diagnostic,severe_mental_illness
E100400,Read,Acute exacerbation of chronic schizophrenia,diagnostic,severe_mental_illness
E100500,Read,Schizophrenia in remission,diagnostic,severe_mental_illness
E100z00,Read,Simple schizophrenia NOS,diagnostic,severe_mental_illness
E101.00,Read,Hebephrenic schizophrenia,diagnostic,severe_mental_illness
E101000,Read,Unspecified hebephrenic schizophrenia,diagnostic,severe_mental_illness
E101400,Read,Acute exacerbation of chronic hebephrenic schizophrenia,diagnostic,severe_mental_illness
E101500,Read,Hebephrenic schizophrenia in remission,diagnostic,severe_mental_illness
E101z00,Read,Hebephrenic schizophrenia NOS,diagnostic,severe_mental_illness
E102.00,Read,Catatonic schizophrenia,diagnostic,severe_mental_illness
E102000,Read,Unspecified catatonic schizophrenia,diagnostic,severe_mental_illness
E102100,Read,Subchronic catatonic schizophrenia,diagnostic,severe_mental_illness
E102500,Read,Catatonic schizophrenia in remission,diagnostic,severe_mental_illness
E102z00,Read,Catatonic schizophrenia NOS,diagnostic,severe_mental_illness
E103.00,Read,Paranoid schizophrenia,diagnostic,severe_mental_illness
E103000,Read,Unspecified paranoid schizophrenia,diagnostic,severe_mental_illness
E103200,Read,Chronic paranoid schizophrenia,diagnostic,severe_mental_illness
E103300,Read,Acute exacerbation of subchronic paranoid schizophrenia,diagnostic,severe_mental_illness
E103400,Read,Acute exacerbation of chronic paranoid schizophrenia,diagnostic,severe_mental_illness
