code,description,coding_system,subtype,entity,list_name,upload_date
8G52.00,Antiphobic therapy,Read,anxiety,diagnostic,mental_illness_non_smi,
8G94.00,Anxiety management training,Read,anxiety,diagnostic,mental_illness_non_smi,
8HHp.00,Referral for guided self-help for anxiety,Read,anxiety,diagnostic,mental_illness_non_smi,
E2...00,Neurotic; personality and other nonpsychotic disorders,Read,anxiety,diagnostic,mental_illness_non_smi,
E20..00,Neurotic disorders,Read,anxiety,diagnostic,mental_illness_non_smi,
E200.00,Anxiety states,Read,anxiety,diagnostic,mental_illness_non_smi,
E200000,Anxiety state unspecified,Read,anxiety,diagnostic,mental_illness_non_smi,
E200100,Panic disorder,Read,anxiety,diagnostic,mental_illness_non_smi,
E200111,Panic attack,Read,anxiety,diagnostic,mental_illness_non_smi,
E200200,Generalised anxiety disorder,Read,anxiety,diagnostic,mental_illness_non_smi,
E200300,Anxiety with depression,Read,anxiety,diagnostic,mental_illness_non_smi,
E200400,Chronic anxiety,Read,anxiety,diagnostic,mental_illness_non_smi,
E200500,Recurrent anxiety,Read,anxiety,diagnostic,mental_illness_non_smi,
E200z00,Anxiety state NOS,Read,anxiety,diagnostic,mental_illness_non_smi,
E201.00,Hysteria,Read,anxiety,diagnostic,mental_illness_non_smi,
E201000,Hysteria unspecified,Read,anxiety,diagnostic,mental_illness_non_smi,
E201100,Hysterical blindness,Read,anxiety,diagnostic,mental_illness_non_smi,
E201200,Hysterical deafness,Read,anxiety,diagnostic,mental_illness_non_smi,
E201300,Hysterical tremor,Read,anxiety,diagnostic,mental_illness_non_smi,
E201400,Hysterical paralysis,Read,anxiety,diagnostic,mental_illness_non_smi,
E201500,Hysterical seizures,Read,anxiety,diagnostic,mental_illness_non_smi,
E201511,Fit - hysterical,Read,anxiety,diagnostic,mental_illness_non_smi,
E201600,Other conversion disorder,Read,anxiety,diagnostic,mental_illness_non_smi,
E201611,Astasia - abasia; hysterical,Read,anxiety,diagnostic,mental_illness_non_smi,
E201612,Globus hystericus,Read,anxiety,diagnostic,mental_illness_non_smi,
E201700,Hysterical amnesia,Read,anxiety,diagnostic,mental_illness_non_smi,
E201800,Hysterical fugue,Read,anxiety,diagnostic,mental_illness_non_smi,
E201900,Multiple personality,Read,anxiety,diagnostic,mental_illness_non_smi,
E201A00,Dissociative reaction unspecified,Read,anxiety,diagnostic,mental_illness_non_smi,
E201B00,Compensation neurosis,Read,anxiety,diagnostic,mental_illness_non_smi,
E201C00,Phantom pregnancy,Read,anxiety,diagnostic,mental_illness_non_smi,
E201z00,Hysteria NOS,Read,anxiety,diagnostic,mental_illness_non_smi,
E201z11,Aphonia - hysterical,Read,anxiety,diagnostic,mental_illness_non_smi,
E201z12,Ataxia - hysterical,Read,anxiety,diagnostic,mental_illness_non_smi,
E201z13,Ganser's syndrome - hysterical,Read,anxiety,diagnostic,mental_illness_non_smi,
E202.00,Phobic disorders,Read,anxiety,diagnostic,mental_illness_non_smi,
E202000,Phobia unspecified,Read,anxiety,diagnostic,mental_illness_non_smi,
E202100,Agoraphobia with panic attacks,Read,anxiety,diagnostic,mental_illness_non_smi,
E202.11,Social phobic disorders,Read,anxiety,diagnostic,mental_illness_non_smi,
E202.12,Phobic anxiety,Read,anxiety,diagnostic,mental_illness_non_smi,
E202200,Agoraphobia without mention of panic attacks,Read,anxiety,diagnostic,mental_illness_non_smi,
E202300,Social phobia; fear of eating in public,Read,anxiety,diagnostic,mental_illness_non_smi,
E202400,Social phobia; fear of public speaking,Read,anxiety,diagnostic,mental_illness_non_smi,
E202500,Social phobia; fear of public washing,Read,anxiety,diagnostic,mental_illness_non_smi,
E202600,Acrophobia,Read,anxiety,diagnostic,mental_illness_non_smi,
E202700,Animal phobia,Read,anxiety,diagnostic,mental_illness_non_smi,
E202800,Claustrophobia,Read,anxiety,diagnostic,mental_illness_non_smi,
E202900,Fear of crowds,Read,anxiety,diagnostic,mental_illness_non_smi,
E202A00,Fear of flying,Read,anxiety,diagnostic,mental_illness_non_smi,
E202B00,Cancer phobia,Read,anxiety,diagnostic,mental_illness_non_smi,
E202C00,Dental phobia,Read,anxiety,diagnostic,mental_illness_non_smi,
E202D00,Fear of death,Read,anxiety,diagnostic,mental_illness_non_smi,
E202E00,Fear of pregnancy,Read,anxiety,diagnostic,mental_illness_non_smi,
E202z00,Phobic disorder NOS,Read,anxiety,diagnostic,mental_illness_non_smi,
E202z11,Weight fixation,Read,anxiety,diagnostic,mental_illness_non_smi,
E203.00,Obsessive-compulsive disorders,Read,anxiety,diagnostic,mental_illness_non_smi,
E203000,Compulsive neurosis,Read,anxiety,diagnostic,mental_illness_non_smi,
E203100,Obsessional neurosis,Read,anxiety,diagnostic,mental_illness_non_smi,
E203.11,Anancastic neurosis,Read,anxiety,diagnostic,mental_illness_non_smi,
E203z00,Obsessive-compulsive disorder NOS,Read,anxiety,diagnostic,mental_illness_non_smi,
E205.00,Neurasthenia - nervous debility,Read,anxiety,diagnostic,mental_illness_non_smi,
E205.11,Nervous exhaustion,Read,anxiety,diagnostic,mental_illness_non_smi,
E206.00,Depersonalisation syndrome,Read,anxiety,diagnostic,mental_illness_non_smi,
E207.00,Hypochondriasis,Read,anxiety,diagnostic,mental_illness_non_smi,
E20y.00,Other neurotic disorders,Read,anxiety,diagnostic,mental_illness_non_smi,
E20y000,Somatization disorder,Read,anxiety,diagnostic,mental_illness_non_smi,
E20y011,Briquet's disorder,Read,anxiety,diagnostic,mental_illness_non_smi,
E20y100,Writer's cramp neurosis,Read,anxiety,diagnostic,mental_illness_non_smi,
E20y200,Other occupational neurosis,Read,anxiety,diagnostic,mental_illness_non_smi,
E20y300,Psychasthenic neurosis,Read,anxiety,diagnostic,mental_illness_non_smi,
E20yz00,Other neurotic disorder NOS,Read,anxiety,diagnostic,mental_illness_non_smi,
E20z.00,Neurotic disorder NOS,Read,anxiety,diagnostic,mental_illness_non_smi,
E20z.11,Nervous breakdown,Read,anxiety,diagnostic,mental_illness_non_smi,
E26..00,Physiological malfunction arising from mental factors,Read,anxiety,diagnostic,mental_illness_non_smi,
E260.00,Psychogenic musculoskeletal symptoms,Read,anxiety,diagnostic,mental_illness_non_smi,
E260000,Psychogenic paralysis,Read,anxiety,diagnostic,mental_illness_non_smi,
E260100,Psychogenic torticollis,Read,anxiety,diagnostic,mental_illness_non_smi,
E260z00,Psychogenic musculoskeletal symptoms NOS,Read,anxiety,diagnostic,mental_illness_non_smi,
E261.00,Psychogenic respiratory symptoms,Read,anxiety,diagnostic,mental_illness_non_smi,
E261000,Psychogenic air hunger,Read,anxiety,diagnostic,mental_illness_non_smi,
E261100,Psychogenic cough,Read,anxiety,diagnostic,mental_illness_non_smi,
E261200,Psychogenic hiccough,Read,anxiety,diagnostic,mental_illness_non_smi,
E261300,Psychogenic hyperventilation,Read,anxiety,diagnostic,mental_illness_non_smi,
E261400,Psychogenic yawning,Read,anxiety,diagnostic,mental_illness_non_smi,
E261500,Psychogenic aphonia,Read,anxiety,diagnostic,mental_illness_non_smi,
