code,description,coding_system,subtype,entity,list_name,upload_date
G61..00,Intracerebral haemorrhage,Read,,diagnostic,stroke,
G610.00,Cortical haemorrhage,Read,,diagnostic,stroke,
G611.00,Internal capsule haemorrhage,Read,,diagnostic,stroke,
G61..11,CVA - cerebrovascular accid due to intracerebral haemorrhage,Read,,diagnostic,stroke,
G61..12,Stroke due to intracerebral haemorrhage,Read,,diagnostic,stroke,
G612.00,Basal nucleus haemorrhage,Read,,diagnostic,stroke,
G613.00,Cerebellar haemorrhage,Read,,diagnostic,stroke,
G614.00,Pontine haemorrhage,Read,,diagnostic,stroke,
G615.00,Bulbar haemorrhage,Read,,diagnostic,stroke,
G616.00,External capsule haemorrhage,Read,,diagnostic,stroke,
G617.00,Intracerebral haemorrhage; intraventricular,Read,,diagnostic,stroke,
G618.00,Intracerebral haemorrhage; multiple localized,Read,,diagnostic,stroke,
G61X.00,Intracerebral haemorrhage in hemisphere; unspecified,Read,,diagnostic,stroke,
G61X000,Left sided intracerebral haemorrhage; unspecified,Read,,diagnostic,stroke,
G61X100,Right sided intracerebral haemorrhage; unspecified,Read,,diagnostic,stroke,
G61z.00,Intracerebral haemorrhage NOS,Read,,diagnostic,stroke,
G63y000,Cerebral infarct due to thrombosis of precerebral arteries,Read,,diagnostic,stroke,
G63y100,Cerebral infarction due to embolism of precerebral arteries,Read,,diagnostic,stroke,
G64..00,Cerebral arterial occlusion,Read,,diagnostic,stroke,
G640.00,Cerebral thrombosis,Read,,diagnostic,stroke,
G640000,Cerebral infarction due to thrombosis of cerebral arteries,Read,,diagnostic,stroke,
G641.00,Cerebral embolism,Read,,diagnostic,stroke,
G641000,Cerebral infarction due to embolism of cerebral arteries,Read,,diagnostic,stroke,
G64..11,CVA - cerebral artery occlusion,Read,,diagnostic,stroke,
G641.11,Cerebral embolus,Read,,diagnostic,stroke,
G64..12,Infarction - cerebral,Read,,diagnostic,stroke,
G64..13,Stroke due to cerebral arterial occlusion,Read,,diagnostic,stroke,
G64z.00,Cerebral infarction NOS,Read,,diagnostic,stroke,
G64z000,Brainstem infarction,Read,,diagnostic,stroke,
G64z100,Wallenberg syndrome,Read,,diagnostic,stroke,
G64z.11,Brainstem infarction NOS,Read,,diagnostic,stroke,
G64z111,Lateral medullary syndrome,Read,,diagnostic,stroke,
G64z.12,Cerebellar infarction,Read,,diagnostic,stroke,
G64z200,Left sided cerebral infarction,Read,,diagnostic,stroke,
G64z300,Right sided cerebral infarction,Read,,diagnostic,stroke,
G64z400,Infarction of basal ganglia,Read,,diagnostic,stroke,
G65..00,Transient cerebral ischaemia,Read,,diagnostic,stroke,
G650.00,Basilar artery syndrome,Read,,diagnostic,stroke,
G650.11,Insufficiency - basilar artery,Read,,diagnostic,stroke,
G651.00,Vertebral artery syndrome,Read,,diagnostic,stroke,
G651000,Vertebro-basilar artery syndrome,Read,,diagnostic,stroke,
G65..11,Drop attack,Read,,diagnostic,stroke,
G65..12,Transient ischaemic attack,Read,,diagnostic,stroke,
G65..13,Vertebro-basilar insufficiency,Read,,diagnostic,stroke,
G652.00,Subclavian steal syndrome,Read,,diagnostic,stroke,
G653.00,Carotid artery syndrome hemispheric,Read,,diagnostic,stroke,
G654.00,Multiple and bilateral precerebral artery syndromes,Read,,diagnostic,stroke,
G656.00,Vertebrobasilar insufficiency,Read,,diagnostic,stroke,
G65y.00,Other transient cerebral ischaemia,Read,,diagnostic,stroke,
G65z.00,Transient cerebral ischaemia NOS,Read,,diagnostic,stroke,
G65z000,Impending cerebral ischaemia,Read,,diagnostic,stroke,
G65z100,Intermittent cerebral ischaemia,Read,,diagnostic,stroke,
G65zz00,Transient cerebral ischaemia NOS,Read,,diagnostic,stroke,
G66..00,Stroke and cerebrovascular accident unspecified,Read,,diagnostic,stroke,
G660.00,Middle cerebral artery syndrome,Read,,diagnostic,stroke,
G661.00,Anterior cerebral artery syndrome,Read,,diagnostic,stroke,
G66..11,CVA unspecified,Read,,diagnostic,stroke,
G66..12,Stroke unspecified,Read,,diagnostic,stroke,
G66..13,CVA - Cerebrovascular accident unspecified,Read,,diagnostic,stroke,
G662.00,Posterior cerebral artery syndrome,Read,,diagnostic,stroke,
G663.00,Brain stem stroke syndrome,Read,,diagnostic,stroke,
G664.00,Cerebellar stroke syndrome,Read,,diagnostic,stroke,
G665.00,Pure motor lacunar syndrome,Read,,diagnostic,stroke,
G666.00,Pure sensory lacunar syndrome,Read,,diagnostic,stroke,
G667.00,Left sided CVA,Read,,diagnostic,stroke,
G668.00,Right sided CVA,Read,,diagnostic,stroke,
G669.00,Cerebral palsy; not congenital or infantile; acute,Read,,diagnostic,stroke,
G676000,Cereb infarct due cerebral venous thrombosis; nonpyogenic,Read,,diagnostic,stroke,
G6W..00,Cereb infarct due unsp occlus/stenos precerebr arteries,Read,,diagnostic,stroke,
G6X..00,Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Read,,diagnostic,stroke,
Gyu6300,[X]Cerebrl infarctn due/unspcf occlusn or sten/cerebrl artrs,Read,,diagnostic,stroke,
Gyu6400,[X]Other cerebral infarction,Read,,diagnostic,stroke,
Gyu6500,[X]Occlusion and stenosis of other precerebral arteries,Read,,diagnostic,stroke,
Gyu6600,[X]Occlusion and stenosis of other cerebral arteries,Read,,diagnostic,stroke,
Gyu6F00,[X]Intracerebral haemorrhage in hemisphere; unspecified,Read,,diagnostic,stroke,
Gyu6G00,[X]Cereb infarct due unsp occlus/stenos precerebr arteries,Read,,diagnostic,stroke,
ZV12D00,[V]Personal history of transient ischaemic attack,Read,,diagnostic,stroke,
